extend_cycle_num_num	sample_num	file_name	global_rmsd	chai_score
extendlen_25_cycle_2_3_C	2	extendlen_25_cycle_2_3_sample2.cif	9.432661128962396	0.16736939549446106
extendlen_25_cycle_1_6_C	1	extendlen_25_cycle_1_6_sample1.cif	8.87500745364494	0.18119601905345917
extendlen_28_cycle_1_8_C	2	extendlen_28_cycle_1_8_sample2.cif	9.658272861190362	0.17282867431640625
extendlen_32_cycle_2_0_C	1	extendlen_32_cycle_2_0_sample1.cif	9.889295950734182	0.16977915167808533
extendlen_38_cycle_3_4_C	2	extendlen_38_cycle_3_4_sample2.cif	9.04542826698684	0.16281068325042725
extendlen_25_cycle_3_6_C	1	extendlen_25_cycle_3_6_sample1.cif	9.181816127011688	0.16269147396087646
extendlen_26_cycle_4_8_C	2	extendlen_26_cycle_4_8_sample2.cif	8.361836864360066	0.16505327820777893
extendlen_25_cycle_3_5_C	2	extendlen_25_cycle_3_5_sample2.cif	9.482277390750083	0.17306499183177948
extendlen_35_cycle_5_1_C	2	extendlen_35_cycle_5_1_sample2.cif	7.294474971344062	0.1740223616361618
extendlen_30_cycle_5_3_C	1	extendlen_30_cycle_5_3_sample1.cif	8.334185325317513	0.16888555884361267
extendlen_28_cycle_2_2_C	2	extendlen_28_cycle_2_2_sample2.cif	9.837488132060582	0.16720549762248993
extendlen_25_cycle_2_1_C	2	extendlen_25_cycle_2_1_sample2.cif	9.260414582692627	0.17419524490833282
extendlen_27_cycle_4_1_C	2	extendlen_27_cycle_4_1_sample2.cif	9.679793028648165	0.1704123318195343
extendlen_27_cycle_2_2_C	2	extendlen_27_cycle_2_2_sample2.cif	9.382223877877287	0.17541007697582245
extendlen_26_cycle_5_3_C	2	extendlen_26_cycle_5_3_sample2.cif	9.961196787374698	0.1715468168258667
extendlen_25_cycle_3_4_C	1	extendlen_25_cycle_3_4_sample1.cif	9.690330395546095	0.1750612109899521
extendlen_31_cycle_1_9_C	1	extendlen_31_cycle_1_9_sample1.cif	9.820767576266729	0.16409604251384735
extendlen_39_cycle_5_0_C	2	extendlen_39_cycle_5_0_sample2.cif	9.714138979455782	0.1653648465871811
extendlen_28_cycle_5_1_C	2	extendlen_28_cycle_5_1_sample2.cif	9.995844416718413	0.16444694995880127
extendlen_29_cycle_2_9_C	2	extendlen_29_cycle_2_9_sample2.cif	8.355257779981283	0.17587192356586456
extendlen_29_cycle_2_4_C	1	extendlen_29_cycle_2_4_sample1.cif	8.022433147280877	0.17432783544063568
extendlen_27_cycle_4_3_C	1	extendlen_27_cycle_4_3_sample1.cif	6.241658414817541	0.16795912384986877
extendlen_30_cycle_5_1_C	1	extendlen_30_cycle_5_1_sample1.cif	9.723951097944692	0.17365112900733948
extendlen_30_cycle_4_1_C	1	extendlen_30_cycle_4_1_sample1.cif	9.871342852137419	0.16477301716804504
extendlen_28_cycle_4_1_C	2	extendlen_28_cycle_4_1_sample2.cif	7.170905812673386	0.17097043991088867
extendlen_34_cycle_5_5_C	1	extendlen_34_cycle_5_5_sample1.cif	9.92329819765919	0.17296938598155975
extendlen_29_cycle_2_9_C	1	extendlen_29_cycle_2_9_sample1.cif	8.19227935124123	0.1795324683189392
extendlen_32_cycle_1_9_C	1	extendlen_32_cycle_1_9_sample1.cif	9.387931935829984	0.16440734267234802
extendlen_29_cycle_2_6_C	1	extendlen_29_cycle_2_6_sample1.cif	7.47325138081671	0.1646348536014557
extendlen_25_cycle_5_6_C	1	extendlen_25_cycle_5_6_sample1.cif	9.259860649561695	0.17708472907543182
extendlen_25_cycle_3_0_C	2	extendlen_25_cycle_3_0_sample2.cif	9.988317487665554	0.17534451186656952
extendlen_35_cycle_1_8_C	1	extendlen_35_cycle_1_8_sample1.cif	9.721163982371571	0.162361741065979
extendlen_31_cycle_4_6_C	1	extendlen_31_cycle_4_6_sample1.cif	9.909024927044413	0.1689782440662384
extendlen_25_cycle_5_3_C	2	extendlen_25_cycle_5_3_sample2.cif	9.173709209578828	0.16516779363155365
extendlen_25_cycle_1_9_C	2	extendlen_25_cycle_1_9_sample2.cif	9.183222395030054	0.17611686885356903
extendlen_29_cycle_5_0_C	2	extendlen_29_cycle_5_0_sample2.cif	8.370587701186041	0.16304515302181244
extendlen_30_cycle_3_9_C	2	extendlen_30_cycle_3_9_sample2.cif	8.352516610405122	0.16079995036125183
extendlen_31_cycle_3_1_C	2	extendlen_31_cycle_3_1_sample2.cif	8.64315215193466	0.17599844932556152
extendlen_37_cycle_2_0_C	2	extendlen_37_cycle_2_0_sample2.cif	9.912027773437122	0.1780555248260498
extendlen_28_cycle_1_9_C	1	extendlen_28_cycle_1_9_sample1.cif	8.259680133097755	0.16683213412761688
